github_repo,status,n_producao,n_testes,n_pares,segundos,detalhe
test-smells-sagetv,OK,14,23,2,2,
test-smells-samza,OK,4,258,12,3,
test-smells-sentry,OK,9,253,22,3,
test-smells-servicecomb-java-chassis,OK,9,585,24,4,
test-smells-servicemix-bundles,OK,1,0,0,0,projeto sem classe de teste
test-smells-shindig,OK,1,323,109,3,
test-smells-shiro,OK,2,92,10,2,
test-smells-sis,OK,18,503,15,7,
test-smells-skywalking,OK,4,161,1,4,
test-smells-sling-org-apache-sling-testing-clients,OK,1,13,0,3,
test-smells-smarthome,OK,20,356,16,7,
test-smells-soda-for-java,OK,1,4,0,1,
test-smells-soter,OK,1,0,0,0,projeto sem classe de teste
test-smells-sourceediting,OK,34,339,9,5,
test-smells-spatial-framework-for-hadoop,OK,1,19,4,1,
test-smells-spring-amqp,OK,3,143,50,2,
test-smells-spring-batch,OK,3,721,5,5,
test-smells-spring-batch-admin,OK,3,93,2,2,
test-smells-spring-boot,OK,28,1410,53,8,
test-smells-spring-data-cassandra,OK,2,177,1,3,
test-smells-spring-data-commons,OK,4,206,6,3,
test-smells-spring-data-couchbase,OK,2,55,1,2,
test-smells-spring-data-dev-tools,OK,2,28,0,2,
test-smells-spring-data-examples,OK,28,96,0,2,
test-smells-spring-data-gemfire,OK,3,357,25,3,
test-smells-spring-data-graph,OK,2,60,2,2,
test-smells-spring-data-jdbc-ext,OK,1,15,0,2,
test-smells-spring-data-jpa,OK,3,125,1,2,
test-smells-spring-data-keyvalue,OK,1,21,0,1,
test-smells-spring-data-mongodb,OK,2,253,4,3,
test-smells-spring-data-neo4j,OK,1,60,1,2,
test-smells-spring-data-redis,OK,7,192,16,3,
test-smells-spring-data-relational,OK,1,73,8,2,
test-smells-spring-data-rest,OK,1,108,2,2,
test-smells-spring-data-solr,OK,2,45,1,2,
test-smells-spring-framework,OK,35,1963,144,12,
test-smells-spring-hadoop,OK,5,237,1,2,
test-smells-spring-hateoas,OK,3,90,3,2,
test-smells-spring-ide,OK,27,139,20,3,
test-smells-spring-integration-aws,OK,1,23,1,2,
test-smells-spring-integration-java-dsl,OK,1,27,0,2,
test-smells-spring-integration-samples,OK,2,56,0,2,
test-smells-spring-ldap,OK,2,160,52,2,
test-smells-spring-loaded,OK,11,71,1,2,
test-smells-spring-mvc-showcase,OK,1,17,0,1,
test-smells-spring-restdocs,OK,2,88,10,2,
test-smells-spring-retry,OK,2,48,6,2,
test-smells-spring-roo,OK,10,83,3,2,
test-smells-spring-security,OK,8,816,21,5,
test-smells-spring-session,OK,1,84,0,2,
test-smells-spring-social,OK,3,30,2,2,
test-smells-spring-social-facebook,OK,1,43,4,2,
test-smells-spring-social-linkedin,OK,1,10,0,2,
test-smells-spring-statemachine,OK,6,152,6,3,
test-smells-spring-vault,OK,2,91,0,2,
test-smells-spring-ws,OK,3,230,2,2,
test-smells-spring-xd,OK,6,334,2,3,
test-smells-sqoop,OK,1,237,1,3,
test-smells-stanbol,OK,8,178,8,3,
test-smells-storm,OK,20,243,10,4,
test-smells-streams,OK,4,101,37,2,
test-smells-struts,OK,13,115,5,2,
test-smells-struts-examples,OK,1,4,0,1,
test-smells-struts1,OK,1,28,0,2,
test-smells-syncope,OK,16,70,0,2,
test-smells-tajo,OK,14,256,75,4,
test-smells-tapestry-5,OK,13,214,7,3,
test-smells-tchannel-java,OK,2,37,6,1,
test-smells-team-explorer-everywhere,OK,59,85,4,2,
test-smells-texlipse,OK,4,0,0,0,projeto sem classe de teste
test-smells-tez,OK,7,206,29,4,
test-smells-thym,OK,1,21,2,2,
test-smells-tika,OK,7,279,11,4,
test-smells-tink,OK,1,141,0,2,
test-smells-tinker,OK,2,3,0,2,
test-smells-tinkerpop,OK,10,398,81,4,
test-smells-titan.EclipsePlug-ins,OK,29,32,2,3,
test-smells-tomcat,OK,21,437,31,4,
test-smells-tomee,OK,23,1066,217,8,
test-smells-triquetrum,OK,5,19,4,2,
test-smells-tycho,OK,9,283,2,3,
test-smells-uReplicator,OK,1,21,0,1,
test-smells-uaa,OK,5,426,6,5,
test-smells-uima-uimafit,OK,1,98,1,3,
test-smells-uima-uimaj,OK,15,155,2,3,
test-smells-unomi,OK,3,4,0,2,
test-smells-visualvm,OK,31,26,0,3,
test-smells-volley,OK,1,29,1,2,
test-smells-vorto,OK,5,50,1,2,
test-smells-vso-httpclient-java,OK,7,9,0,2,
test-smells-vxquery,OK,3,14,0,2,
test-smells-weblogic-monitoring-exporter,OK,1,14,4,1,
test-smells-wicket,OK,25,619,97,5,
test-smells-xenon,OK,5,127,41,3,
test-smells-xsemantics,OK,2,37,0,2,
test-smells-xtext-core,OK,39,429,19,6,
test-smells-xtext-eclipse,OK,46,357,5,5,
test-smells-xtext-extras,OK,22,232,7,4,
test-smells-xtext-idea,OK,31,4,0,2,
test-smells-xtext-lib,OK,1,13,1,2,
test-smells-xtext-xtend,OK,10,517,1,7,
test-smells-zeppelin,OK,5,169,2,2,
test-smells-zookeeper,OK,6,256,73,4,
tests-smells-spring-integration,OK,9,950,29,7,
test-smells-atlas,OK,10,32,1,2,
