correto,observacao,estrato_auditoria,peso_no_universo,github_repo,production_path,test_path,metodo,evidencia,ambiguo,n_testes_da_producao,url_producao,url_teste
,,caminho_exato,0.040014,test-smells-eclipse.platform.ui,/bundles/org.eclipse.jface.databinding/src/org/eclipse/jface/databinding/viewers/ObservableSetTreeContentProvider.java,/tests/org.eclipse.jface.tests.databinding/src/org/eclipse/jface/tests/databinding/viewers/ObservableSetTreeContentProviderTest.java,caminho_exato,,0,1,https://github.com/cristianritter/test-smells-eclipse.platform.ui/blob/e3bbb556534a1fb945e1036948325d14a8dd9c7a/bundles/org.eclipse.jface.databinding/src/org/eclipse/jface/databinding/viewers/ObservableSetTreeContentProvider.java,https://github.com/cristianritter/test-smells-eclipse.platform.ui/blob/e3bbb556534a1fb945e1036948325d14a8dd9c7a/tests/org.eclipse.jface.tests.databinding/src/org/eclipse/jface/tests/databinding/viewers/ObservableSetTreeContentProviderTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-tika,/tika-parsers/src/main/java/org/apache/tika/parser/ocr/TesseractOCRConfig.java,/tika-parsers/src/test/java/org/apache/tika/parser/ocr/TesseractOCRParserTest.java,referencia_estatica,mesmo_pacote,1,4,https://github.com/cristianritter/test-smells-tika/blob/4131c6e30f2e0eb1feb85e0f7576531d4e830468/tika-parsers/src/main/java/org/apache/tika/parser/ocr/TesseractOCRConfig.java,https://github.com/cristianritter/test-smells-tika/blob/4131c6e30f2e0eb1feb85e0f7576531d4e830468/tika-parsers/src/test/java/org/apache/tika/parser/ocr/TesseractOCRParserTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-camel,/components/camel-disruptor/src/main/java/org/apache/camel/component/disruptor/DisruptorComponent.java,/components/camel-disruptor/src/test/java/org/apache/camel/component/disruptor/DisruptorComponentReferenceEndpointTest.java,referencia_estatica,mesmo_pacote,1,3,https://github.com/cristianritter/test-smells-camel/blob/8a85a70643c4d6eec2d3abddeea44ecb06c2f486/components/camel-disruptor/src/main/java/org/apache/camel/component/disruptor/DisruptorComponent.java,https://github.com/cristianritter/test-smells-camel/blob/8a85a70643c4d6eec2d3abddeea44ecb06c2f486/components/camel-disruptor/src/test/java/org/apache/camel/component/disruptor/DisruptorComponentReferenceEndpointTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-closure-compiler,/src/com/google/javascript/rhino/Node.java,/test/com/google/javascript/rhino/QualifiedNameTest.java,referencia_estatica,mesmo_pacote,1,144,https://github.com/cristianritter/test-smells-closure-compiler/blob/0393c80ca01b6b861376dad7f91043a38bb37dc0/src/com/google/javascript/rhino/Node.java,https://github.com/cristianritter/test-smells-closure-compiler/blob/0393c80ca01b6b861376dad7f91043a38bb37dc0/test/com/google/javascript/rhino/QualifiedNameTest.java
,,referencia_estatica/wildcard,0.007944,test-smells-jena,/jena-arq/src/main/java/org/apache/jena/sparql/expr/ExprList.java,/jena-extras/jena-querybuilder/src/test/java/org/apache/jena/arq/querybuilder/ExprFactoryTest.java,referencia_estatica,wildcard,1,8,https://github.com/cristianritter/test-smells-jena/blob/1cca775bbf0bb0fd3ee8ac55e31f0f30cdde3b77/jena-arq/src/main/java/org/apache/jena/sparql/expr/ExprList.java,https://github.com/cristianritter/test-smells-jena/blob/1cca775bbf0bb0fd3ee8ac55e31f0f30cdde3b77/jena-extras/jena-querybuilder/src/test/java/org/apache/jena/arq/querybuilder/ExprFactoryTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-hadoop,/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ipc/Server.java,/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/ipc/TestIPCServerResponder.java,referencia_estatica,mesmo_pacote,1,45,https://github.com/cristianritter/test-smells-hadoop/blob/128dd91e10080bdcbcd7d555fa3c4105e55a6b51/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ipc/Server.java,https://github.com/cristianritter/test-smells-hadoop/blob/128dd91e10080bdcbcd7d555fa3c4105e55a6b51/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/ipc/TestIPCServerResponder.java
,,convencao,0.005513,test-smells-guava,/guava/src/com/google/common/collect/ImmutableSetMultimap.java,/android/guava-tests/test/com/google/common/collect/ImmutableSetMultimapTest.java,convencao,,1,18,https://github.com/cristianritter/test-smells-guava/blob/be92294be598b9b6ff0bd1cae3335759dafcb534/guava/src/com/google/common/collect/ImmutableSetMultimap.java,https://github.com/cristianritter/test-smells-guava/blob/be92294be598b9b6ff0bd1cae3335759dafcb534/android/guava-tests/test/com/google/common/collect/ImmutableSetMultimapTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-geode,/geode-core/src/main/java/org/apache/geode/internal/cache/DistributedRegion.java,/geode-core/src/distributedTest/java/org/apache/geode/internal/cache/CacheAdvisorDUnitTest.java,referencia_estatica,mesmo_pacote,1,56,https://github.com/cristianritter/test-smells-geode/blob/8fd839e8b73e40bd2dfd14f331b587431bd35a66/geode-core/src/main/java/org/apache/geode/internal/cache/DistributedRegion.java,https://github.com/cristianritter/test-smells-geode/blob/8fd839e8b73e40bd2dfd14f331b587431bd35a66/geode-core/src/distributedTest/java/org/apache/geode/internal/cache/CacheAdvisorDUnitTest.java
,,referencia_estatica/wildcard,0.007944,test-smells-fineract,/fineract-provider/src/integrationTest/java/org/apache/fineract/integrationtests/common/Utils.java,/fineract-provider/src/integrationTest/java/org/apache/fineract/integrationtests/bulkimport/importhandler/loan/LoanImportHandlerTest.java,referencia_estatica,wildcard,1,67,https://github.com/cristianritter/test-smells-fineract/blob/210e380df3ca5c74c8c2fa09e7fe1cffdb87e20a/fineract-provider/src/integrationTest/java/org/apache/fineract/integrationtests/common/Utils.java,https://github.com/cristianritter/test-smells-fineract/blob/210e380df3ca5c74c8c2fa09e7fe1cffdb87e20a/fineract-provider/src/integrationTest/java/org/apache/fineract/integrationtests/bulkimport/importhandler/loan/LoanImportHandlerTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-fastr,/com.oracle.truffle.r.nodes/src/com/oracle/truffle/r/nodes/access/vector/SearchFirstStringNode.java,/com.oracle.truffle.r.nodes.test/src/com/oracle/truffle/r/nodes/access/vector/StringSearchNodeTest.java,referencia_estatica,mesmo_pacote,1,2,https://github.com/cristianritter/test-smells-fastr/blob/a1ee49060317621c0c9eceea8ec60040aca59b2d/com.oracle.truffle.r.nodes/src/com/oracle/truffle/r/nodes/access/vector/SearchFirstStringNode.java,https://github.com/cristianritter/test-smells-fastr/blob/a1ee49060317621c0c9eceea8ec60040aca59b2d/com.oracle.truffle.r.nodes.test/src/com/oracle/truffle/r/nodes/access/vector/StringSearchNodeTest.java
